Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000137801,10092.857556369028,6.951804342955942,0.4158936454615247,16.715341575467928,1.013376550543783e-62,1.4839886206163156e-58,Dep.55
ENSG00000167580,2081.1881166790927,10.094494481962972,0.688684234819007,14.657652914932639,1.2036210060842494e-48,8.812913006548874e-45,Dep.55
ENSG00000164683,1624.336365972874,6.21849518418002,0.44294819192124296,14.038877000960149,9.01295223537498e-45,4.3995224178277065e-41,Dep.55
ENSG00000117318,444.83112219368127,6.867278309135643,0.567000772192982,12.111585461471515,9.170423997638011e-34,3.357292225535276e-30,Dep.55
ENSG00000108702,1219.8982637955933,4.944139445396409,0.40915376839702217,12.083817447817971,1.2860719039761825e-33,3.766647392365444e-30,Dep.55
ENSG00000111341,1493.6101399159234,7.155296102832557,0.6002563336570569,11.920400838153547,9.266164865065513e-33,2.2615619714003226e-29,Dep.55
ENSG00000090104,455.00451679541965,5.266201805409596,0.4927338456114928,10.687720870633783,1.1619111572878178e-26,2.4307181410461148e-23,Dep.55
ENSG00000010278,10334.575771007114,3.692609339927543,0.3568100593963221,10.348949651741812,4.231019664275111e-25,7.74488149545559e-22,Dep.55
ENSG00000156298,786.7423482509947,-4.1046237998466495,0.41530496087944274,-9.8833969889374,4.9138306054893893e-23,7.995348376309624e-20,Dep.55
ENSG00000277632,997.6039951370132,4.623726946036044,0.4692348732376641,9.85375812784946,6.602786979097197e-23,9.669121252189936e-20,Dep.55
ENSG00000138061,10537.832301196511,4.458575463275158,0.45481891251638595,9.802968479492433,1.0932464680092191e-22,1.4554092070479095e-19,Dep.55
ENSG00000122641,269.8881566327338,5.489030976987284,0.5643169654833798,9.726857976501764,2.316373790368923e-22,2.826748148846876e-19,Dep.55
ENSG00000135318,698.6271032906217,4.266743832393622,0.4488216013070603,9.506547412085318,1.9709555913131905e-21,2.220205667630028e-18,Dep.55
ENSG00000167880,781.7310968934183,-3.854069960476832,0.41631497546102253,-9.257581849437143,2.0911430091337204e-20,2.1873355875538715e-17,Dep.55
ENSG00000075035,711.0522524920864,-4.223534659234003,0.462462399446766,-9.132709306284205,6.68060625705248e-20,6.522053201885101e-17,Dep.55
ENSG00000229274,316.0965252248866,-4.6619886001699,0.512000214994018,-9.105442661238664,8.591535563434677e-20,7.863402924433589e-17,Dep.55
ENSG00000155792,2916.4721177971364,-3.34778733959657,0.3692134637405382,-9.06734902264886,1.2194778235120084e-19,1.0504725439711677e-16,Dep.55
ENSG00000142615,307.5305253300064,5.156859003032955,0.5853553136724687,8.809792757631714,1.2537743519608019e-18,1.0200150894507767e-15,Dep.55
ENSG00000153234,781.870023063353,4.087537153418273,0.4675624703085711,8.74222678890518,2.285600977543119e-18,1.761596879744286e-15,Dep.55
ENSG00000101342,2950.5894734996205,-3.4141848211746657,0.39134071538299325,-8.724328154389218,2.6776557536991044e-18,1.9605795428584845e-15,Dep.55
ENSG00000185640,212.04086260201805,5.298422520802387,0.6087095602848752,8.704352398084126,3.1939320518203697e-18,2.2272352841360714e-15,Dep.55
ENSG00000122176,398.85502094384583,4.059751309091896,0.4687700479396561,8.660432395233794,4.699781015267534e-18,3.1283451448898984e-15,Dep.55
ENSG00000071246,1293.3393932203785,3.301872687276381,0.3875167439265485,8.520593597633633,1.587376235880001e-17,1.0106755477489883e-14,Dep.55
ENSG00000095794,4724.602184123505,3.235731572081591,0.3870839525896208,8.359250106945284,6.311817147653249e-17,3.8512604295930903e-14,Dep.55
ENSG00000123358,581.0322591743935,3.70985958243752,0.4456472067316481,8.324655751004084,8.457416206032787e-17,4.9540161168457654e-14,Dep.55
ENSG00000164946,1507.245800594912,-3.187398223165385,0.3857076597888333,-8.263766980698328,1.4114601201129413e-16,7.797085475829624e-14,Dep.55
ENSG00000133742,1767.6800844126444,-3.849521292779712,0.46595473604674303,-8.26157777778986,1.437594290135208e-16,7.797085475829624e-14,Dep.55
ENSG00000088826,1954.5046017569473,3.033717282018783,0.371065154786052,8.175699719818633,2.9415374466691278e-16,1.538424084607954e-13,Dep.55
ENSG00000183695,389.3881805122141,-3.704438517686112,0.4655620140326727,-7.9569174589620575,1.763782897698064e-15,8.906495432376017e-13,Dep.55
ENSG00000143333,482.6449121219872,4.099273113551377,0.5176224947122484,7.919426136667814,2.386092605028782e-15,1.1647313369347161e-12,Dep.55
ENSG00000102245,155.84164791172648,6.605182619337393,0.8351821070375637,7.908673526024564,2.6014584403099886e-15,1.2288953999967572e-12,Dep.55
ENSG00000171657,1137.7435625553037,3.4964393065464945,0.45276944868866276,7.722339298009364,1.142138723298172e-14,5.22671233249326e-12,Dep.55
ENSG00000123689,273.8466938157525,-3.9311750653306783,0.5178916678138688,-7.590728543529204,3.1811176561876696e-14,1.4116450593094616e-11,Dep.55
ENSG00000138795,508.815556289221,-3.663086071321036,0.4869455117344254,-7.522578980702962,5.37061534311556e-14,2.2740724914054977e-11,Dep.55
ENSG00000096006,264.9897491746243,-4.06009408164973,0.5398330963225662,-7.521017346486857,5.4351636983879014e-14,2.2740724914054977e-11,Dep.55
ENSG00000186522,1077.789320076147,3.1115467077860823,0.4155241842807164,7.488244548683138,6.980088125578027e-14,2.8393447364156844e-11,Dep.55
ENSG00000167618,191.03561618569495,4.773595339060928,0.6426674905603743,7.4277840550151195,1.1043204990478036e-13,4.370721456231361e-11,Dep.55
ENSG00000214049,818.6552860295113,-3.019087100992981,0.40855494698722944,-7.389672119396344,1.471913197757126e-13,5.6722886494619346e-11,Dep.55
