Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000163736,16430.187497549934,-8.6483576768859,0.2594865738995446,-33.32872890847119,1.481393103483656e-243,2.9817480386919026e-239,Dep.2
ENSG00000174175,6254.733089626834,-7.367067605059224,0.28162307397385355,-26.159318201828864,7.72090672060958e-151,7.770320523621481e-147,Dep.2
ENSG00000110799,7694.055734319042,-7.010319395634493,0.26973046267091466,-25.990091464705827,6.409427703427071e-149,4.3002986938193355e-145,Dep.2
ENSG00000185245,6782.35696696509,-5.826594614183901,0.24339745014905384,-23.93860170110969,1.214551523724367e-126,6.111623267381015e-123,Dep.2
ENSG00000163737,19644.12351372042,-8.475396568785534,0.3645586207363292,-23.248377864901602,1.4773072080109703e-119,5.947047896568962e-116,Dep.2
ENSG00000088053,2299.072168614983,-6.662711091728818,0.2943640771381565,-22.634253325013397,1.9941252079757003e-113,6.689625364355815e-110,Dep.2
ENSG00000101162,5546.909163479044,-6.72590433321771,0.3000846466061375,-22.413357062034205,2.9160463130752916e-111,8.38488288422564e-108,Dep.2
ENSG00000108846,3796.5648875346683,-5.470096941172274,0.2539385070351431,-21.541029775430065,6.426231244834642e-103,1.6168397812003958e-99,Dep.2
ENSG00000160145,4263.5382710295535,-6.665921200997243,0.3105564679285147,-21.464441701892472,3.3474631911247462e-102,7.48641545677321e-99,Dep.2
ENSG00000223609,28191.41251842304,-4.975916709270868,0.23836863493776392,-20.874880248276114,9.0595697039061135e-97,1.8235101900022225e-93,Dep.2
ENSG00000259207,22213.249457801176,-4.409602922866331,0.22331075785680124,-19.746486757677854,8.599621125003286e-87,1.573574309127874e-83,Dep.2
ENSG00000165929,2545.7636097040386,-5.1793921210944545,0.2682845878037426,-19.305589499175106,4.8202144908461416e-83,8.085106439312594e-80,Dep.2
ENSG00000184702,3790.6783620719325,-4.962023309624358,0.26095652243573647,-19.014751052433695,1.2874652023607512e-80,1.9933922763936308e-77,Dep.2
ENSG00000178732,1549.2291135266062,-6.314977262199887,0.3368444628963295,-18.747457529511017,2.0307000572239417e-78,2.9195664822716787e-75,Dep.2
ENSG00000173083,9929.034976104102,-4.1807545948483185,0.22339539051865284,-18.714596505961648,3.764615803735954e-78,5.051612459839819e-75,Dep.2
ENSG00000150637,1994.2425656846756,-4.848669824779742,0.2670318315464131,-18.157647336276426,1.117104233878857e-73,1.405317126219602e-70,Dep.2
ENSG00000169704,3444.8763216916595,-4.41910211804459,0.2444917709389793,-18.07464562538392,5.0478637327865675e-73,5.976670659619296e-70,Dep.2
ENSG00000128266,1173.5291972506059,-5.660369694301447,0.32252919555541887,-17.549945159395186,5.95374768090649e-69,6.657612962293657e-66,Dep.2
ENSG00000137672,1416.7726580170417,-5.4050203722314665,0.3084461908575152,-17.523381816468216,9.500632044483211e-69,1.0064669567966216e-65,Dep.2
ENSG00000203685,1543.8517542983827,-5.165967600227398,0.2956084934602205,-17.47570761502011,2.1940669103472388e-68,2.2081089385734612e-65,Dep.2
ENSG00000137507,1134.5633548625533,-8.294146886535447,0.48268048880774567,-17.18351389554313,3.528740356855053e-66,3.3822136144180243e-63,Dep.2
ENSG00000188536,2358.790560951559,-4.314349973584592,0.2580459815783777,-16.719306951401492,9.481541973008076e-63,8.596498079211305e-60,Dep.2
ENSG00000145649,875.1804463585374,6.158273467516246,0.3683795348024857,16.717197579442438,9.823104919607512e-63,8.596498079211305e-60,Dep.2
ENSG00000161911,1291.1060383974304,-7.331838489509844,0.44637961942654714,-16.42511927163896,1.264349716700654e-60,1.0603679624062817e-57,Dep.2
ENSG00000181577,1161.6040199135596,-4.906211824586169,0.29924938468373546,-16.395060694181026,2.0743342284800587e-60,1.6700879740338648e-57,Dep.2
ENSG00000073737,2034.5125207259962,4.876808584659456,0.3086911643453714,15.798341993369013,3.1940724724777846e-56,2.472703489462802e-53,Dep.2
ENSG00000205038,797.7486772973025,-7.556048907575039,0.4847643304264979,-15.587056293781334,8.914788396947333e-55,6.6458096612502196e-52,Dep.2
ENSG00000179588,3178.925429788126,-4.333824813179553,0.28142025910258073,-15.399832361037756,1.640942015235212e-53,1.1796028886662266e-50,Dep.2
ENSG00000255552,789.8718528898469,-8.261015613986777,0.5503271860874958,-15.011098529799632,6.211046136900902e-51,4.3108943670186674e-48,Dep.2
ENSG00000119862,3736.8112035311397,-4.410394354234137,0.29558096936124506,-14.921103898417636,2.4026534403025657e-50,1.6120202815470014e-47,Dep.2
ENSG00000166091,4708.933433872284,-3.980915192784831,0.2674115621533516,-14.886847676772888,4.01246531314097e-50,2.6052548975129498e-47,Dep.2
ENSG00000147862,734.9498879028563,-4.87962514690709,0.3319757198225178,-14.698741069123535,6.566925260603815e-49,4.1305959889197995e-46,Dep.2
ENSG00000170271,2212.328698649472,-4.1583239347333825,0.28464981961199665,-14.608559880352471,2.4769858069152273e-48,1.5108112218663544e-45,Dep.2
ENSG00000011105,926.4081870372987,-4.352424226346608,0.30101915307231153,-14.458961105710966,2.200947909455659e-47,1.30296116239775e-44,Dep.2
ENSG00000113924,608.1749235597371,-5.841708372189931,0.40966658425223723,-14.25966529062354,3.903220613122386e-46,2.244686414312211e-43,Dep.2
ENSG00000204424,801.1144021314267,-8.631606752393443,0.6105395612096782,-14.137669859249435,2.225314779114142e-45,1.2441982187224847e-42,Dep.2
ENSG00000163751,134920.98516335772,3.1135790545569346,0.2203905096063907,14.127555039087989,2.5691007290906415e-45,1.397590796625309e-42,Dep.2
ENSG00000140479,1226.809792753733,-4.166246961375536,0.3088079455293789,-13.491385249927689,1.7576674892325476e-41,9.310087164019137e-39,Dep.2
ENSG00000187513,702.4007042044518,-4.342459111890877,0.3249496302695438,-13.363483775281825,9.882830106724955e-41,5.100553958670766e-38,Dep.2
ENSG00000154917,1759.862413695084,-3.8349881612997905,0.28839784779556804,-13.297561651771538,2.3914054531520916e-40,1.2033552240261324e-37,Dep.2
ENSG00000073464,4052.0578489564527,-4.092895237002226,0.3082115771916231,-13.279498694682605,3.0442534902391346e-40,1.4945057134520318e-37,Dep.2
