Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000139974,2636.792641835115,2.564947345922915,0.2998407329834561,8.554365914201648,1.1851839681190015e-17,5.4018314898927845e-15,Prot.218
ENSG00000079156,3502.6333541923555,2.742602983383817,0.3219693663797406,8.518210953488992,1.620368577077104e-17,7.240505784903944e-15,Prot.218
ENSG00000163536,3832.2880376657495,2.3494116524535693,0.2759481839669424,8.513959463980457,1.6809279859047698e-17,7.356900556580847e-15,Prot.218
ENSG00000101342,3032.540426781733,-2.752836108633015,0.32341009383556274,-8.51190535207194,1.7109821821878313e-17,7.356900556580847e-15,Prot.218
ENSG00000169429,1753.2365271789865,3.891045419596196,0.4604292880807389,8.450907707925563,2.890466839281718e-17,1.2198305333405756e-14,Prot.218
ENSG00000118515,9338.8760461752845,2.129837942449986,0.25507546265647485,8.34983467350744,6.83585832411899e-17,2.8324068245154123e-14,Prot.218
ENSG00000164543,1575.8268079244313,3.052481340832547,0.36574176923271945,8.346001462278348,7.061293385045344e-17,2.873568124139256e-14,Prot.218
ENSG00000086548,242.69493486620263,-5.960791206458182,0.7180492108802872,-8.301368647353005,1.0291879806760178e-16,4.1147657704606615e-14,Prot.218
ENSG00000125657,1196.488328231717,4.031854862723437,0.48811295328673077,8.260085776406381,1.4556782251583063e-16,5.719560529850455e-14,Prot.218
ENSG00000149295,1165.9804003312508,3.247933777896476,0.3967487150113389,8.186375040442542,2.692119133007394e-16,1.0398424224085679e-13,Prot.218
ENSG00000116741,5422.4516908819705,2.1605000999447994,0.2649461274112073,8.154488314492758,3.5066131749501477e-16,1.3318701273989818e-13,Prot.218
ENSG00000168209,6298.074102699877,2.174347207449186,0.26912804507335286,8.079229375208932,6.517733090103056e-16,2.434960973612435e-13,Prot.218
ENSG00000133816,3644.5328994307633,2.2343019385365994,0.2773494429086175,8.055909235313548,7.889015900417502e-16,2.899722312171201e-13,Prot.218
ENSG00000175197,3995.578383576065,2.47912217717624,0.31090866956239527,7.973795586548329,1.5387396863175556e-15,5.56608550976044e-13,Prot.218
ENSG00000115165,7652.411552317834,2.024537482220384,0.25557524190402314,7.921492970671487,2.346755263680429e-15,8.356282141252078e-13,Prot.218
ENSG00000251562,97408.83092501051,1.8746634778100881,0.2398933712365591,7.814569732156044,5.515109554653109e-15,1.93359740986138e-12,Prot.218
ENSG00000265107,833.0369744368444,2.9084302353647975,0.3730446735500532,7.796466325834188,6.3664801226404e-15,2.1982684168916985e-12,Prot.218
ENSG00000102245,181.99115310668194,6.8913378748296354,0.8860790702193235,7.7773396375606545,7.406556587769183e-15,2.5016474725196667e-12,Prot.218
ENSG00000171657,770.1796645192925,2.9672110038507364,0.38156856545339574,7.776350759725116,7.464655234162857e-15,2.5016474725196667e-12,Prot.218
ENSG00000229274,314.0416170824908,-4.349408363540594,0.56060800222892,-7.758377237299131,8.602295534512446e-15,2.8411262744348425e-12,Prot.218
ENSG00000165795,5222.424371157075,2.1089250406423297,0.27249358860841166,7.739356552982872,9.99212022003311e-15,3.253006109919065e-12,Prot.218
ENSG00000159200,586.9582760796616,3.3882312996215598,0.43855043814467,7.725978598848971,1.1099727817090001e-14,3.5626999608966765e-12,Prot.218
ENSG00000196415,2207.0288610182124,-3.1140472677745676,0.4106581769732127,-7.583064072233724,3.374880726957075e-14,1.0681966234253442e-11,Prot.218
ENSG00000172667,1768.0504649927386,2.6410123539741406,0.3491412852221048,7.5643083925009655,3.8993364188454654e-14,1.217287365055744e-11,Prot.218
ENSG00000087086,447394.64626617683,1.8667873791767398,0.24758575260696442,7.539962859414667,4.701053269748199e-14,1.4477338238417799e-11,Prot.218
ENSG00000131080,1323.3567376175754,2.740750127545893,0.36531467772591475,7.502436377884056,6.264242144419894e-14,1.903410856389133e-11,Prot.218
ENSG00000198142,245.5570988524511,4.523152780285277,0.6033126175003651,7.497195730839392,6.519758831353825e-14,1.9549840001016095e-11,Prot.218
ENSG00000155792,3128.0322190220245,-2.4622114812089646,0.32850218109856344,-7.495266768016391,6.616365666403042e-14,1.9581864567747913e-11,Prot.218
