Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Locus
ENSG00000143162,10672.854105219845,-2.844497787922463,0.13588253673639908,-20.933505189416312,2.652553571493018e-97,4.5825515501113385e-93,Ap.102
ENSG00000133636,784.7307541404978,5.8593178944829996,0.28904987587046427,20.270958002794,2.3209456993502222e-91,2.0048328950987218e-87,Ap.102
ENSG00000163453,3933.935175520305,-3.0453581235693568,0.15320729771700198,-19.877369870426232,6.389674522864069e-88,3.679600568566655e-84,Ap.102
ENSG00000164683,614.1675054235029,6.568947872524963,0.3675029744055279,17.874543418732543,1.8619339656871696e-71,8.041692797802885e-68,Ap.102
ENSG00000163950,5929.376335542995,-2.475441813080003,0.1561591255769247,-15.852047095772118,1.3607499390614546e-56,4.701663189445137e-53,Ap.102
ENSG00000113384,3640.2120141635314,-2.3697522569438063,0.15566456334811937,-15.223453597748044,2.4713317603285895e-52,7.115787915239452e-49,Ap.102
ENSG00000163520,5026.845726845401,2.2618593294841056,0.14918771905131734,15.161163022447411,6.392722064647978e-52,1.577723805555121e-48,Ap.102
ENSG00000114353,7346.803549188303,-2.2098318362430387,0.1482920045169505,-14.901894700536227,3.2036428293630324e-50,6.918266690009468e-47,Ap.102
ENSG00000117318,483.9161866184535,4.602609684603072,0.30963101825962164,14.86482107145946,5.576367528531955e-50,1.0704147269213117e-46,Ap.102
ENSG00000078808,1865.1471853182072,-3.2909234584766276,0.226017350268479,-14.560490398491273,5.009712998992172e-48,8.654780177058876e-45,Ap.102
ENSG00000159128,2037.5299783578353,-2.4441522952485233,0.17626966593748122,-13.865983589685861,1.0182071546846879e-43,1.599140618575697e-40,Ap.102
ENSG00000173085,966.7910529564267,-2.858650653880525,0.2085649486887008,-13.706285125346161,9.310410445943381e-43,1.3403887572009822e-39,Ap.102
ENSG00000135678,1695.7277682369017,2.390417161613686,0.1769867313121643,13.506194186938986,1.4376352554134715e-41,1.9105066671171642e-38,Ap.102
ENSG00000117906,1789.74752892729,-2.618622830550783,0.20087301988066494,-13.03620980112939,7.61494867795777e-39,9.396846668599889e-36,Ap.102
ENSG00000089876,1484.013310181115,-2.4038565971811603,0.18460740466244469,-13.021452750373804,9.239613437827271e-39,1.0641570783460263e-35,Ap.102
ENSG00000134827,12462.543868405708,1.9445571938967818,0.15147682860585718,12.837324439611296,1.0131579547361137e-37,1.0939573016263187e-34,Ap.102
ENSG00000064115,14077.845338330611,-1.7226704249926572,0.13483644713290366,-12.775999825141344,2.232601666710457e-37,2.2688486114170506e-34,Ap.102
ENSG00000159873,2015.5179438300836,-2.0486336159892082,0.16568929717647138,-12.364308684388115,4.077037888400059e-35,3.9130503644444125e-32,Ap.102
ENSG00000223609,4863.650932054142,2.0106625193652032,0.16269281807015123,12.35864338214505,4.3747733239331763e-35,3.9778202075931346e-32,Ap.102
ENSG00000115756,1323.4093884637014,-2.263620844631477,0.18591933019661055,-12.17528506711856,4.209208898721065e-34,3.635914646715256e-31,Ap.102
ENSG00000176890,8564.349525233183,-1.7678498911846476,0.1456858975513135,-12.134667259485258,6.919068080426943e-34,5.692086674164565e-31,Ap.102
ENSG00000126803,1797.407569897128,2.6013948924567516,0.21770160667348837,11.949360099846928,6.542705362439909e-33,5.137808083705085e-30,Ap.102
ENSG00000071246,862.567783140609,2.6685102069896076,0.22343295916450645,11.943225462206183,7.043769609712835e-33,5.2907897294521284e-30,Ap.102
ENSG00000265107,387.9604901001126,3.537720412026907,0.30282279752681257,11.682477148087472,1.5666238162116705e-31,1.1277080437030343e-28,Ap.102
ENSG00000022267,1967.5339360204339,-1.9107761645094419,0.16642191268989373,-11.48151787000509,1.6338668194082174e-30,1.1290673268838545e-27,Ap.102
ENSG00000099624,946.7393318084269,-2.9677696024297258,0.2587758474170183,-11.468495348590833,1.8993301080167917e-30,1.2620318056191574e-27,Ap.102
ENSG00000176393,4249.394495389281,-1.7834970480149859,0.15802339009121394,-11.286285194777301,1.533832057061423e-29,9.814252821404867e-27,Ap.102
ENSG00000100997,1440.3207748382808,-2.592185867939819,0.23201173831050234,-11.172649654780333,5.55001602689299e-29,3.424359888592975e-26,Ap.102
ENSG00000104341,5006.422767436763,-1.596025499714469,0.14387685013694293,-11.092997227805316,1.3566464893107559e-28,8.081870603218145e-26,Ap.102
ENSG00000263001,3438.0599057438694,-1.8051991990977325,0.16456519452575522,-10.969507885916974,5.356312159542833e-28,3.084521628942066e-25,Ap.102
ENSG00000153066,2501.6141648141192,-1.7506637198330535,0.16105517834173275,-10.869962318867087,1.6026702604140882e-27,8.931526264165738e-25,Ap.102
ENSG00000112062,4976.906180779145,-1.554708889269188,0.1435280819086382,-10.83208852647266,2.4255882322339452e-27,1.3095144468773011e-24,Ap.102
ENSG00000187713,568.8955246404846,-2.9756483007432633,0.2765006670000283,-10.761812378351184,5.2134608321790765e-27,2.7293257374765372e-24,Ap.102
ENSG00000277632,454.40656403757566,3.112323919467951,0.2896886823965616,10.743684888619219,6.345983640863599e-27,3.224506275869398e-24,Ap.102
ENSG00000172301,854.2159181638555,-2.2154935076858795,0.21037651024909565,-10.53108783420084,6.211248255778492e-26,3.065872139052264e-23,Ap.102
ENSG00000138061,3348.5026984454703,1.834624721979142,0.17472102797327865,10.500308653516647,8.609814238982687e-26,4.1317541886851364e-23,Ap.102
ENSG00000170340,3090.282529026347,-1.886889656290039,0.18116844617363714,-10.41511199186192,2.1154845341091917e-25,9.877597516559566e-23,Ap.102
